,index,policy,seed,K,user_util,mean_max_envy,pct_better_off,pct_worse_off
0,0,max,0,1,1.0,0.02898339077438324,0.011254551473022179,0.9854352863290301
1,1,expo-fair,0,1,0.9870317277656703,0.003877356489890633,0.834491890102615,0.14796425024826215
2,2,unif,0,1,0.03247853262456919,0.0,0.0,0.0
3,3,nsw_0,0,1,0.3295913262758764,0.0030376052578069326,8.109897384971863,75.86891757696127
4,4,nsw_1,0,1,0.9158623498395717,0.004919192069528227,15.09433962264151,84.57464415756371
5,0,max,0,2,1.5,0.028817882664485855,0.022509102946044357,0.974180734856008
6,1,expo-fair,0,2,1.478178335699042,0.00588604986210464,0.8235683548493876,0.15921880172128433
7,2,unif,0,2,0.04871779893685378,0.0,0.0,0.0
8,3,nsw_0,0,2,0.6232099506278382,0.004073601474538178,9.996689837802052,89.67229394240319
9,4,nsw_1,0,2,1.4373833742759619,0.00649514299118348,19.000331016219796,80.66865276398543
10,0,max,0,3,1.833333333333333,0.02870754392455426,0.033432638199271766,0.9632571996027806
11,1,expo-fair,0,3,1.795854067832342,0.00697213298521229,0.8348229063224099,0.14697120158887786
12,2,unif,0,3,0.05954397647837686,0.0,0.0,0.0
13,3,nsw_0,0,3,0.8437176474642117,0.004914089431469231,11.122144985104269,88.54683879510095
14,4,nsw_1,0,3,1.7753210146708025,0.007455784051205538,20.523005627275737,79.1459781529295
