,index,policy,seed,K,user_util,mean_max_envy,pct_better_off,pct_worse_off
0,0,max,0,1,1.0,0.09871134020618556,0.00859106529209622,0.9871134020618557
1,1,expo-fair,0,1,0.996759729142654,0.009796869482517116,0.7731958762886598,0.19415807560137457
2,2,unif,0,1,0.10704467353951892,0.0,0.0,0.0
3,3,nsw_0,0,1,0.8093134861638844,0.01486845419598683,8.848797250859107,90.72164948453609
4,4,nsw_1,0,1,0.9549075521575929,0.011809177284239608,15.807560137457044,83.76288659793815
5,0,max,0,2,1.5,0.09828178694158075,0.01718213058419244,0.9785223367697594
6,1,expo-fair,0,2,1.495147321298408,0.014695306094610366,0.7731958762886598,0.19415807560137457
7,2,unif,0,2,0.16056701030927836,0.0,0.0,0.0
8,3,nsw_0,0,2,1.2885003004667805,0.01854511507942323,11.855670103092782,87.7147766323024
9,4,nsw_1,0,2,1.454080809275972,0.016723123399210355,18.384879725085913,81.18556701030928
10,0,max,0,3,1.8333333333333333,0.09799541809851087,0.02577319587628866,0.9699312714776632
11,1,expo-fair,0,3,1.8275183493798324,0.017960824938670763,0.7731958762886598,0.19415807560137457
12,2,unif,0,3,0.19624856815578468,0.0,0.0,0.0
13,3,nsw_0,0,3,1.2529394078526503,0.025480625682826802,8.333333333333332,91.23711340206185
14,4,nsw_1,0,3,1.7430043745169386,0.021077695096317167,19.673539518900345,79.89690721649485
